order	time	memory	cross_entropy	input_file	architecture	number_of_states	threads	fit	params_json	train_opt_json	no_mean	log_file
58	399.53	168456.0	3.0524916986167336	gaussian.npy	combined	36	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	True	trainig_log
59	407.97	168752.0	3.0065870699588317	gaussian.npy	combined	38	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	True	trainig_log
60	679.85	168904.0	3.0549542059103705	gaussian.npy	combined	40	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	True	trainig_log
61	638.6	168576.0	3.005414158063142	gaussian.npy	combined	42	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	True	trainig_log
62	822.96	168716.0	3.008993030352937	gaussian.npy	combined	44	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	True	trainig_log
63	10.91	168168.0	4.317453431671448	bimodal.npy	chain	2	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 1000, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	True	trainig_log
64	16.84	168536.0	3.960306114919765	bimodal.npy	chain	4	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 1000, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	True	trainig_log
65	21.17	168332.0	3.9402870252588413	bimodal.npy	chain	6	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 1000, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	True	trainig_log
66	21.05	168636.0	3.9302656124997655	bimodal.npy	chain	8	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 1000, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	True	trainig_log
67	47.06	168224.0	4.081624950471923	bimodal.npy	chain	10	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 1000, ""number_of_tries"": 10, ""percent_to_visualize"": 100 }"	True	trainig_log
